time_key,open,close,high,low,volume
2026-02-17 04:00:00,315.0,315.0,315.0,315.0,569
2026-02-17 04:06:00,314.87,315.0,315.0,314.87,476
2026-02-17 04:08:00,315.08,315.15,315.15,315.08,246
2026-02-17 04:13:00,315.07,315.06,315.07,315.05,548
2026-02-17 04:15:00,315.09,315.16,315.16,315.09,104
2026-02-17 04:20:00,315.22,315.3,315.3,315.22,943
2026-02-17 04:41:00,315.39,315.32,315.39,315.32,555
2026-02-17 04:42:00,315.32,315.32,315.32,315.32,373
2026-02-17 04:53:00,315.36,315.37,315.37,315.36,665
2026-02-17 05:07:00,315.42,315.35,315.42,315.35,283
2026-02-17 05:13:00,315.41,315.41,315.41,315.36,338
2026-02-17 05:17:00,315.36,315.36,315.36,315.36,458
2026-02-17 05:19:00,315.36,315.24,315.38,315.21,726
2026-02-17 05:23:00,315.01,315.01,315.01,315.01,170
2026-02-17 05:24:00,314.82,314.82,314.82,314.82,208
2026-02-17 05:28:00,314.54,314.54,314.54,314.54,242
2026-02-17 05:31:00,314.54,314.54,314.54,314.54,261
2026-02-17 05:38:00,315.0,315.0,315.0,315.0,90
2026-02-17 05:40:00,314.54,314.54,314.54,314.54,158
2026-02-17 05:41:00,314.54,314.54,314.54,314.54,246
2026-02-17 05:42:00,314.54,314.54,314.54,314.54,188
2026-02-17 05:44:00,314.54,314.54,314.54,314.54,170
2026-02-17 06:27:00,314.7,314.7,314.7,314.7,82
2026-02-17 06:29:00,314.75,314.75,314.75,314.75,112
2026-02-17 07:00:00,314.61,314.36,314.61,314.36,835
2026-02-17 07:07:00,314.18,314.18,314.18,314.18,189
2026-02-17 07:15:00,314.14,314.07,314.14,314.0,2069
2026-02-17 07:19:00,314.07,314.08,314.08,314.07,145
2026-02-17 07:43:00,313.06,313.0,313.06,313.0,1645
2026-02-17 07:44:00,313.08,313.39,313.5,313.0,2193
2026-02-17 07:45:00,313.5,313.5,313.5,313.5,149
2026-02-17 07:50:00,313.95,313.95,313.95,313.95,54
2026-02-17 08:00:00,314.45,314.91,315.21,313.0,3604
2026-02-17 08:01:00,315.58,315.07,315.58,315.07,571
2026-02-17 08:03:00,313.99,313.99,313.99,313.99,99
2026-02-17 08:07:00,313.5,313.5,313.5,313.5,612
2026-02-17 08:08:00,313.416,313.416,313.416,313.416,208
2026-02-17 08:11:00,313.29,313.29,313.29,313.29,86
2026-02-17 08:19:00,313.17,313.0,313.19,313.0,610
2026-02-17 08:20:00,313.0,313.0,313.0,313.0,98
2026-02-17 08:27:00,313.5,313.5,313.5,313.5,209
2026-02-17 08:29:00,313.99,313.99,313.99,313.99,538
2026-02-17 08:30:00,313.33,313.69,313.69,313.32,518
2026-02-17 08:34:00,313.17,313.17,313.17,313.17,353
2026-02-17 08:35:00,313.0001,313.0001,313.0001,313.0001,3053
2026-02-17 08:38:00,313.1,313.1,313.1,313.1,306
2026-02-17 08:45:00,313.07,313.0,313.07,313.0,648
2026-02-17 08:46:00,312.82,312.5,312.82,312.5,741
2026-02-17 08:50:00,313.0,313.5,313.5,313.0,1309
2026-02-17 08:51:00,313.5,313.94,314.0,313.5,1829
2026-02-17 08:52:00,313.99,313.99,313.99,313.99,64
2026-02-17 08:56:00,313.59,313.59,313.59,313.59,239
2026-02-17 08:57:00,313.65,313.65,313.65,313.65,61
2026-02-17 08:59:00,313.67,313.67,313.67,313.67,108
2026-02-17 09:01:00,313.9435,313.9435,313.9435,313.9435,76
2026-02-17 09:05:00,313.31,313.31,313.31,313.31,58
2026-02-17 09:06:00,313.2,313.2,313.2,313.2,104
2026-02-17 09:18:00,314.0,313.95,314.0,313.95,2304
2026-02-17 09:19:00,314.29,314.01,314.29,314.01,484
2026-02-17 09:20:00,314.24,314.3,314.3,314.24,180
2026-02-17 09:24:00,314.55,314.55,314.55,314.55,92
2026-02-17 09:26:00,314.74,314.74,314.74,314.74,96
2026-02-17 09:27:00,314.54,314.88,314.88,314.1,574
2026-02-17 09:28:00,315.02,314.75,315.02,314.75,380
2026-02-17 09:30:00,314.41,315.54,316.0,314.41,299623
2026-02-17 09:31:00,315.61,315.7805,315.98,314.5901,34523
2026-02-17 09:32:00,315.65,317.3,317.97,315.65,100716
2026-02-17 09:33:00,317.23,316.165,317.47,316.15,39326
2026-02-17 09:34:00,316.16,316.971,317.57,316.009,45773
2026-02-17 09:35:00,316.9,317.28,317.5,316.07,32348
2026-02-17 09:36:00,317.26,317.095,317.26,316.44,32338
2026-02-17 09:37:00,317.0,317.6801,318.05,316.91,34083
2026-02-17 09:38:00,317.825,316.78,317.91,316.55,24037
2026-02-17 09:39:00,316.75,316.73,317.01,316.43,32305
2026-02-17 09:40:00,316.7715,317.32,317.83,316.59,41830
2026-02-17 09:41:00,317.42,316.81,317.83,316.67,34002
