time_key,open,close,high,low,volume
2024-11-14 09:30:00,309.3,308.8975,309.83,308.83,141337
2024-11-14 09:31:00,308.85,309.27,309.475,308.8,12580
2024-11-14 09:32:00,309.17,308.945,309.215,308.8,5472
2024-11-14 09:33:00,309.01,309.5,309.805,308.965,15570
2024-11-14 09:34:00,309.38,309.335,309.535,309.33,8619
2024-11-14 09:35:00,309.41,310.07,310.4,309.41,24685
2024-11-14 09:36:00,310.17,310.17,310.396,310.0722,4841
2024-11-14 09:37:00,310.23,310.03,310.26,310.03,9416
2024-11-14 09:38:00,310.14,310.06,310.15,309.97,6842
2024-11-14 09:39:00,309.96,310.0,310.025,309.88,8041
2024-11-14 09:40:00,310.035,309.94,310.05,309.83,11645
2024-11-14 09:41:00,309.8628,309.535,310.0331,309.4942,13315
2024-11-14 09:42:00,309.65,309.38,309.77,309.33,13310
2024-11-14 09:43:00,309.375,309.11,309.385,308.9,9892
2024-11-14 09:44:00,309.12,309.36,309.43,309.115,9384
2024-11-14 09:45:00,309.24,309.285,309.39,309.19,3873
2024-11-14 09:46:00,309.32,309.5575,309.7,309.2,5545
2024-11-14 09:47:00,309.79,309.685,309.87,309.57,5808
2024-11-14 09:48:00,309.62,309.69,310.0,309.62,3915
2024-11-14 09:49:00,309.94,309.745,309.94,309.57,34660
2024-11-14 09:50:00,309.745,309.67,309.77,309.66,9173
2024-11-14 09:51:00,309.67,310.0,310.07,309.67,7008
2024-11-14 09:52:00,310.005,310.1,310.47,310.0,22711
2024-11-14 09:53:00,310.1297,310.16,310.3,310.01,13447
2024-11-14 09:54:00,310.22,310.325,310.48,310.0128,19754
2024-11-14 09:55:00,310.325,310.335,310.41,310.25,6153
2024-11-14 09:56:00,310.3,310.33,310.42,310.25,4651
2024-11-14 09:57:00,310.35,310.45,310.48,310.325,10572
2024-11-14 09:58:00,310.353,310.31,310.7,310.24,11787
2024-11-14 09:59:00,310.26,310.0825,310.3161,310.02,13234
2024-11-14 10:00:00,310.055,310.075,310.16,309.91,9781
2024-11-14 10:01:00,310.13,310.15,310.2,310.01,3347
2024-11-14 10:02:00,310.13,309.975,310.18,309.95,7394
2024-11-14 10:03:00,309.96,310.09,310.19,309.96,6821
2024-11-14 10:04:00,310.03,309.99,310.06,309.98,3509
2024-11-14 10:05:00,309.98,310.09,310.22,309.98,6936
2024-11-14 10:06:00,310.06,310.035,310.0654,310.035,2987
2024-11-14 10:07:00,309.9912,310.18,310.18,309.98,6086
2024-11-14 10:08:00,310.15,310.18,310.245,310.15,5545
2024-11-14 10:09:00,310.1,309.9,310.1,309.9,13971
2024-11-14 10:10:00,310.0,309.89,310.0486,309.89,5994
2024-11-14 10:11:00,309.905,309.59,309.905,309.59,10501
2024-11-14 10:12:00,309.56,309.56,309.67,309.47,4653
2024-11-14 10:13:00,309.67,309.87,309.87,309.67,2712
2024-11-14 10:14:00,309.785,309.88,309.89,309.785,3652
2024-11-14 10:15:00,309.95,310.025,310.1,309.8395,7451
2024-11-14 10:16:00,309.96,310.3,310.31,309.96,54444
2024-11-14 10:17:00,310.24,310.24,310.35,310.1301,2745
2024-11-14 10:18:00,310.3,310.38,310.51,310.245,7959
2024-11-14 10:19:00,310.27,310.215,310.27,310.15,9049
2024-11-14 10:20:00,310.14,310.085,310.2075,309.86,24367
2024-11-14 10:21:00,310.08,310.085,310.135,310.01,13861
2024-11-14 10:22:00,310.085,310.31,310.32,309.99,15480
2024-11-14 10:23:00,310.26,310.49,310.62,310.26,9979
2024-11-14 10:24:00,310.495,310.395,310.55,310.31,11835
2024-11-14 10:25:00,310.34,310.4175,310.46,310.33,9377
2024-11-14 10:26:00,310.405,310.525,310.565,310.405,10451
2024-11-14 10:27:00,310.57,310.58,310.6,310.5175,3363
2024-11-14 10:28:00,310.58,310.485,310.58,310.42,7100
2024-11-14 10:29:00,310.42,310.52,310.64,310.42,8556
2024-11-14 10:30:00,310.56,310.52,310.56,310.36,8519
2024-11-14 10:31:00,310.52,310.63,310.7,310.5151,4386
2024-11-14 10:32:00,310.67,310.7278,310.78,310.66,2471
2024-11-14 10:33:00,310.6145,310.74,310.78,310.61,6658
2024-11-14 10:34:00,310.67,310.65,310.72,310.6,16135
2024-11-14 10:35:00,310.69,310.594,310.7589,310.594,8761
2024-11-14 10:36:00,310.67,310.97,310.97,310.67,6309
2024-11-14 10:37:00,310.97,311.0,311.16,310.97,19989
2024-11-14 10:38:00,311.0,311.0201,311.18,311.0,8059
2024-11-14 10:39:00,311.1,311.04,311.16,311.01,9164
2024-11-14 10:40:00,311.08,311.04,311.11,311.04,6233
2024-11-14 10:41:00,311.0662,311.095,311.25,311.05,10826
2024-11-14 10:42:00,311.1188,311.05,311.1188,311.03,3772
2024-11-14 10:43:00,311.055,311.12,311.12,311.01,6094
2024-11-14 10:44:00,311.0701,311.205,311.205,311.0701,5464
2024-11-14 10:45:00,311.16,311.14,311.29,311.13,10610
2024-11-14 10:46:00,311.215,311.16,311.215,311.13,8911
2024-11-14 10:47:00,311.13,311.11,311.155,311.06,10290
2024-11-14 10:48:00,311.11,311.11,311.13,311.07,4748
2024-11-14 10:49:00,311.07,311.135,311.16,311.04,11178
2024-11-14 10:50:00,311.15,310.9075,311.15,310.86,8025
2024-11-14 10:51:00,310.905,310.99,311.01,310.89,5763
2024-11-14 10:52:00,310.99,311.085,311.085,310.914,8042
2024-11-14 10:53:00,311.03,311.18,311.19,310.95,10173
2024-11-14 10:54:00,311.21,311.25,311.25,311.14,4043
2024-11-14 10:55:00,311.15,311.1299,311.1855,311.09,9539
2024-11-14 10:56:00,311.14,311.03,311.19,311.03,11664
2024-11-14 10:57:00,311.03,311.015,311.07,310.91,20754
2024-11-14 10:58:00,311.0782,310.8243,311.08,310.82,14973
2024-11-14 10:59:00,310.82,310.72,310.86,310.64,12937
2024-11-14 11:00:00,310.77,310.615,310.77,310.615,7162
2024-11-14 11:01:00,310.615,310.49,310.64,310.43,20041
2024-11-14 11:02:00,310.49,310.19,310.49,310.145,9546
2024-11-14 11:03:00,310.26,310.33,310.38,310.26,6557
2024-11-14 11:04:00,310.33,310.175,310.33,310.13,6596
2024-11-14 11:05:00,310.175,310.24,310.35,310.175,5905
2024-11-14 11:06:00,310.3,310.295,310.3,310.24,4892
2024-11-14 11:07:00,310.295,310.3,310.33,310.24,2881
2024-11-14 11:08:00,310.3,310.205,310.3,310.14,12273
2024-11-14 11:09:00,310.205,310.27,310.41,310.205,10287
2024-11-14 11:10:00,310.37,310.47,310.475,310.37,4430
2024-11-14 11:11:00,310.45,310.455,310.48,310.38,12350
2024-11-14 11:12:00,310.45,310.38,310.52,310.38,9966
2024-11-14 11:13:00,310.37,310.29,310.395,310.265,11873
2024-11-14 11:14:00,310.28,310.3,310.38,310.245,10508
