time_key,open,close,high,low,volume
2025-04-24 04:00:00,203.87,202.89,203.87,202.5,3204
2025-04-24 04:01:00,202.98,202.98,202.98,202.98,985
2025-04-24 04:04:00,203.25,203.1,203.25,203.1,559
2025-04-24 04:05:00,203.09,203.01,203.09,203.01,959
2025-04-24 04:07:00,202.51,202.28,202.51,202.28,2583
2025-04-24 04:08:00,202.19,202.16,202.33,202.16,1470
2025-04-24 04:10:00,202.23,202.23,202.23,202.23,634
2025-04-24 04:11:00,202.18,202.37,202.37,202.18,3190
2025-04-24 04:12:00,202.55,202.39,202.55,202.39,2027
2025-04-24 04:13:00,202.37,202.37,202.37,202.37,282
2025-04-24 04:16:00,202.33,202.33,202.33,202.33,822
2025-04-24 04:17:00,202.3,202.3,202.3,202.3,849
2025-04-24 04:18:00,202.3,202.3,202.3,202.3,911
2025-04-24 04:20:00,202.17,202.17,202.17,202.17,527
2025-04-24 04:21:00,202.16,202.22,202.22,202.16,542
2025-04-24 04:22:00,202.13,202.13,202.13,202.13,648
2025-04-24 04:26:00,202.0,201.92,202.02,201.92,2719
2025-04-24 04:27:00,201.93,201.93,201.93,201.93,665
2025-04-24 04:28:00,201.9,201.9,201.9,201.9,315
2025-04-24 04:32:00,201.87,201.87,201.87,201.87,553
2025-04-24 04:34:00,201.93,201.93,201.93,201.93,700
2025-04-24 04:35:00,201.99,202.0,202.0,201.99,496
2025-04-24 04:36:00,201.81,201.79,201.9,201.79,4570
2025-04-24 04:39:00,201.74,201.74,201.74,201.74,166
2025-04-24 04:41:00,201.71,201.71,201.71,201.71,467
2025-04-24 04:42:00,201.68,201.68,201.68,201.68,463
2025-04-24 04:43:00,201.71,201.73,201.75,201.71,1048
2025-04-24 04:44:00,201.74,201.74,201.74,201.74,518
2025-04-24 04:45:00,201.82,201.8,201.82,201.8,1194
2025-04-24 04:46:00,201.83,201.8,201.83,201.79,1244
2025-04-24 04:47:00,201.81,201.81,201.81,201.81,449
2025-04-24 04:52:00,201.88,202.02,202.02,201.88,2627
2025-04-24 04:58:00,201.99,201.99,201.99,201.97,493
2025-04-24 04:59:00,201.95,201.95,201.95,201.95,743
2025-04-24 05:00:00,201.98,201.98,201.98,201.98,130
2025-04-24 05:01:00,201.82,201.78,201.86,201.78,3025
2025-04-24 05:05:00,201.8,201.93,201.95,201.8,3329
2025-04-24 05:11:00,201.91,201.91,201.91,201.91,184
2025-04-24 05:12:00,201.93,201.92,201.93,201.92,757
2025-04-24 05:13:00,201.95,201.96,201.96,201.95,1703
2025-04-24 05:16:00,202.08,202.08,202.08,202.08,908
2025-04-24 05:18:00,202.05,202.16,202.19,202.05,1774
2025-04-24 05:20:00,202.05,202.05,202.05,202.05,532
2025-04-24 05:21:00,202.01,201.96,202.01,201.96,1336
2025-04-24 05:22:00,201.96,202.27,202.27,201.96,1637
2025-04-24 05:23:00,202.09,202.08,202.09,202.08,511
2025-04-24 05:24:00,202.08,202.08,202.08,202.08,143
2025-04-24 05:26:00,202.17,202.17,202.17,202.17,294
2025-04-24 05:31:00,202.27,202.27,202.27,202.27,510
2025-04-24 05:33:00,202.07,202.07,202.07,202.07,988
2025-04-24 05:35:00,202.17,202.26,202.26,202.17,1131
2025-04-24 05:36:00,202.18,202.2,202.2,202.18,921
2025-04-24 05:37:00,202.19,202.19,202.19,202.19,151
2025-04-24 05:38:00,202.12,202.11,202.12,202.11,1170
2025-04-24 05:39:00,202.13,202.18,202.18,202.13,862
2025-04-24 05:42:00,202.3,202.39,202.39,202.3,1279
2025-04-24 05:44:00,202.41,202.41,202.41,202.41,606
2025-04-24 05:47:00,202.47,202.6,202.6,202.47,760
2025-04-24 05:48:00,202.6,202.6,202.6,202.6,268
2025-04-24 05:50:00,202.57,202.57,202.57,202.57,679
2025-04-24 05:51:00,202.5,202.5,202.5,202.5,303
2025-04-24 05:55:00,202.33,202.38,202.38,202.33,1039
2025-04-24 05:59:00,202.4,202.38,202.4,202.38,649
2025-04-24 06:00:00,202.6,202.55,202.6,202.55,2485
2025-04-24 06:01:00,202.46,202.41,202.48,202.41,2553
2025-04-24 06:03:00,202.46,202.46,202.46,202.46,525
2025-04-24 06:05:00,202.44,202.57,202.57,202.44,880
2025-04-24 06:06:00,202.6,202.6,202.6,202.6,353
2025-04-24 06:07:00,202.59,202.69,202.69,202.59,643
2025-04-24 06:08:00,202.69,202.6,202.69,202.6,1109
2025-04-24 06:09:00,202.45,202.41,202.45,202.41,2108
2025-04-24 06:10:00,202.4,202.43,202.43,202.4,1427
2025-04-24 06:11:00,202.4,202.4,202.4,202.4,496
2025-04-24 06:12:00,202.4,202.4,202.4,202.4,1023
2025-04-24 06:13:00,202.47,202.47,202.47,202.47,367
2025-04-24 06:14:00,202.42,202.42,202.42,202.42,243
2025-04-24 06:17:00,202.48,202.5,202.5,202.48,867
2025-04-24 06:18:00,202.42,202.41,202.42,202.4,1893
2025-04-24 06:19:00,202.41,202.4,202.41,202.4,301
2025-04-24 06:20:00,202.4,202.48,202.48,202.3,6396
2025-04-24 06:23:00,202.5,202.49,202.5,202.48,770
2025-04-24 06:24:00,202.5,202.4,202.5,202.4,2117
2025-04-24 06:25:00,202.4,202.4,202.4,202.4,1244
2025-04-24 06:28:00,202.51,202.47,202.51,202.47,1070
2025-04-24 06:29:00,202.43,202.53,202.53,202.4,2909
2025-04-24 06:30:00,202.55,202.6,202.6,202.55,1245
2025-04-24 06:31:00,202.59,202.69,202.69,202.59,1811
2025-04-24 06:32:00,202.75,202.75,202.75,202.75,1370
2025-04-24 06:33:00,202.79,202.89,202.89,202.79,2150
2025-04-24 06:34:00,202.89,202.99,202.99,202.87,3385
2025-04-24 06:35:00,203.06,203.06,203.06,203.06,263
2025-04-24 06:37:00,202.94,202.9,202.94,202.9,897
2025-04-24 06:39:00,203.05,203.05,203.05,203.05,484
2025-04-24 06:40:00,203.05,203.01,203.05,203.01,882
2025-04-24 06:43:00,203.04,203.04,203.04,203.04,603
2025-04-24 06:44:00,203.11,203.29,203.29,203.11,2164
2025-04-24 06:45:00,203.4,203.4,203.4,203.4,1384
2025-04-24 06:47:00,203.44,203.44,203.44,203.44,1347
2025-04-24 06:49:00,203.46,203.46,203.46,203.46,221
2025-04-24 06:50:00,203.44,203.7,203.7,203.44,6815
2025-04-24 06:51:00,203.7,203.7,203.71,203.7,10133
2025-04-24 06:52:00,203.64,203.96,203.96,203.64,4174
2025-04-24 06:53:00,203.98,204.0,204.0,203.97,3906
2025-04-24 06:54:00,204.03,204.03,204.03,204.03,578
2025-04-24 06:55:00,204.12,204.11,204.12,204.11,1273
2025-04-24 06:57:00,204.24,204.32,204.32,204.24,7047
2025-04-24 06:58:00,204.37,204.29,204.37,204.28,14171
2025-04-24 06:59:00,204.12,204.04,204.12,204.04,917
2025-04-24 07:00:00,204.11,204.14,204.14,204.11,3031
2025-04-24 07:01:00,203.68,203.78,203.78,203.68,2000
2025-04-24 07:02:00,203.75,203.79,203.81,203.75,1592
2025-04-24 07:03:00,203.83,203.84,203.84,203.83,1576
