time_key,open,close,high,low,volume
2024-08-05 09:30:00,157.37,158.47,159.15,156.6,1832057
2024-08-05 09:31:00,158.56,158.345,158.96,157.5701,248110
2024-08-05 09:32:00,158.345,158.96,159.2,158.14,252160
2024-08-05 09:33:00,158.95,160.73,160.84,158.72,351400
2024-08-05 09:34:00,160.7,160.62,161.49,160.53,206802
2024-08-05 09:35:00,160.6,160.14,160.88,160.02,163614
2024-08-05 09:36:00,160.14,160.67,160.9,160.04,144620
2024-08-05 09:37:00,160.71,160.9405,161.03,160.66,144135
2024-08-05 09:38:00,160.93,161.73,161.79,160.71,274319
2024-08-05 09:39:00,161.77,161.84,162.02,161.43,137907
2024-08-05 09:40:00,161.84,161.78,161.99,161.55,222934
2024-08-05 09:41:00,161.7518,161.61,162.12,161.61,205378
2024-08-05 09:42:00,161.6218,162.54,162.81,161.6218,204390
2024-08-05 09:43:00,162.57,162.2,162.88,162.2,133014
2024-08-05 09:44:00,162.23,162.39,162.49,161.91,164423
2024-08-05 09:45:00,162.42,163.39,163.39,162.35,172657
2024-08-05 09:46:00,163.36,163.4799,163.72,163.18,141897
2024-08-05 09:47:00,163.51,163.45,163.7,163.31,128145
2024-08-05 09:48:00,163.45,163.25,163.47,163.07,96845
2024-08-05 09:49:00,163.26,163.74,163.93,163.22,145519
2024-08-05 09:50:00,163.72,163.67,163.8,163.35,146202
2024-08-05 09:51:00,163.72,163.46,163.84,163.4,83938
2024-08-05 09:52:00,163.44,163.05,163.5,162.96,90871
2024-08-05 09:53:00,163.06,162.66,163.11,162.59,87376
2024-08-05 09:54:00,162.64,162.99,163.04,162.63,93056
2024-08-05 09:55:00,162.95,162.84,163.06,162.71,64401
2024-08-05 09:56:00,162.85,163.19,163.24,162.73,68521
2024-08-05 09:57:00,163.18,162.825,163.18,162.75,66314
2024-08-05 09:58:00,162.83,162.552,162.83,162.48,113273
2024-08-05 09:59:00,162.55,162.27,162.59,162.26,130539
2024-08-05 10:00:00,162.34,163.03,163.05,162.32,218651
2024-08-05 10:01:00,163.08,163.17,163.4,162.82,105086
2024-08-05 10:02:00,163.15,163.02,163.22,162.89,78394
2024-08-05 10:03:00,162.99,162.92,163.18,162.83,81816
2024-08-05 10:04:00,162.93,162.87,163.18,162.84,82746
2024-08-05 10:05:00,162.87,162.87,163.2092,162.725,55655
2024-08-05 10:06:00,162.86,162.71,162.99,162.54,80815
2024-08-05 10:07:00,162.715,163.08,163.12,162.7,49400
2024-08-05 10:08:00,163.06,162.84,163.08,162.71,45763
2024-08-05 10:09:00,162.82,162.74,162.86,162.67,40517
2024-08-05 10:10:00,162.75,163.03,163.05,162.75,75217
2024-08-05 10:11:00,163.01,162.99,163.06,162.81,55035
2024-08-05 10:12:00,162.94,162.49,162.94,162.48,71680
2024-08-05 10:13:00,162.53,162.88,163.04,162.53,74734
2024-08-05 10:14:00,162.87,163.19,163.23,162.78,62677
2024-08-05 10:15:00,163.16,163.18,163.26,163.03,66527
2024-08-05 10:16:00,163.1675,163.31,163.54,163.1675,55216
2024-08-05 10:17:00,163.32,163.071,163.32,162.87,38551
2024-08-05 10:18:00,163.06,163.15,163.32,162.94,56258
2024-08-05 10:19:00,163.2,163.275,163.3,163.09,43047
2024-08-05 10:20:00,163.25,163.34,163.46,160.465,61394
2024-08-05 10:21:00,163.38,163.62,163.64,160.82,46690
2024-08-05 10:22:00,163.6,163.37,163.76,163.33,64996
2024-08-05 10:23:00,163.33,163.45,163.45,163.06,70858
2024-08-05 10:24:00,163.46,163.64,163.68,163.35,60391
2024-08-05 10:25:00,163.645,163.565,163.81,163.47,84086
2024-08-05 10:26:00,163.58,163.46,164.03,163.45,65458
2024-08-05 10:27:00,163.47,163.055,163.565,163.0404,59498
2024-08-05 10:28:00,163.1,162.87,163.23,162.84,50569
2024-08-05 10:29:00,162.87,162.51,162.89,162.51,57457
2024-08-05 10:30:00,162.55,162.45,162.76,162.45,57455
2024-08-05 10:31:00,162.435,162.658,162.72,162.34,59480
2024-08-05 10:32:00,162.67,162.64,162.78,162.47,45320
2024-08-05 10:33:00,162.58,162.85,162.85,162.41,36311
2024-08-05 10:34:00,162.86,163.46,163.47,162.86,52550
2024-08-05 10:35:00,163.5,163.53,163.75,163.35,66686
2024-08-05 10:36:00,163.53,163.735,163.74,163.51,63740
2024-08-05 10:37:00,163.73,163.81,163.91,162.535,60655
2024-08-05 10:38:00,163.85,164.2,164.2499,163.8,63723
2024-08-05 10:39:00,164.22,164.41,164.44,164.17,82694
2024-08-05 10:40:00,164.38,163.95,164.52,163.91,92674
2024-08-05 10:41:00,163.93,163.83,164.06,163.77,52708
2024-08-05 10:42:00,163.82,163.92,163.96,163.65,50846
2024-08-05 10:43:00,163.91,163.59,164.13,163.58,56222
2024-08-05 10:44:00,163.59,163.3581,163.75,163.31,44367
2024-08-05 10:45:00,163.39,163.7102,163.77,163.24,60966
2024-08-05 10:46:00,163.72,163.84,163.96,163.665,34822
2024-08-05 10:47:00,163.86,163.6,163.95,163.6,53607
2024-08-05 10:48:00,163.61,164.05,164.13,163.55,82412
2024-08-05 10:49:00,164.06,163.81,164.16,163.79,38650
2024-08-05 10:50:00,163.83,163.4965,164.0,163.46,50434
2024-08-05 10:51:00,163.47,163.79,163.8,163.37,47766
2024-08-05 10:52:00,163.77,163.96,164.01,163.7,45728
2024-08-05 10:53:00,163.96,164.25,164.25,163.96,45928
2024-08-05 10:54:00,164.23,164.28,164.46,164.12,74315
2024-08-05 10:55:00,164.2991,164.4,164.43,164.22,37548
2024-08-05 10:56:00,164.38,164.335,164.44,164.29,42517
2024-08-05 10:57:00,164.325,164.07,164.325,164.0,54113
2024-08-05 10:58:00,164.06,163.785,164.11,163.75,54752
2024-08-05 10:59:00,163.79,163.93,163.962,163.72,71972
2024-08-05 11:00:00,163.91,163.6,164.17,163.6,43680
2024-08-05 11:01:00,163.57,163.29,163.68,163.2,71154
2024-08-05 11:02:00,163.31,163.32,163.6,163.31,32722
2024-08-05 11:03:00,163.36,163.9,164.045,163.36,35225
2024-08-05 11:04:00,163.88,163.59,163.88,163.59,39439
2024-08-05 11:05:00,163.59,163.87,164.03,163.59,34260
2024-08-05 11:06:00,163.78,163.76,163.91,163.62,71714
2024-08-05 11:07:00,163.77,164.24,164.27,163.7,115286
2024-08-05 11:08:00,164.26,164.65,164.95,164.25,115951
2024-08-05 11:09:00,164.73,164.8,164.81,164.57,61524
2024-08-05 11:10:00,164.78,164.81,164.89,164.45,75830
2024-08-05 11:11:00,164.78,165.27,165.32,164.73,142236
2024-08-05 11:12:00,165.265,165.375,165.4,165.03,83609
2024-08-05 11:13:00,165.37,165.36,165.43,165.24,97985
2024-08-05 11:14:00,165.34,165.55,165.59,165.27,55413
2024-08-05 11:15:00,165.53,165.49,165.7099,165.34,61230
2024-08-05 11:16:00,165.47,165.49,165.72,165.38,67366
2024-08-05 11:17:00,165.54,165.83,165.94,165.53,52152
2024-08-05 11:18:00,165.83,165.83,165.94,165.69,69946
2024-08-05 11:19:00,165.82,165.45,165.86,165.45,61563
2024-08-05 11:20:00,165.42,165.7,165.72,165.26,72475
2024-08-05 11:21:00,165.73,165.76,165.915,165.645,55620
2024-08-05 11:22:00,165.72,165.69,165.72,165.46,44786
2024-08-05 11:23:00,165.7,165.68,165.77,165.49,46978
2024-08-05 11:24:00,165.67,165.8,165.85,165.57,55702
2024-08-05 11:25:00,165.78,165.56,165.78,165.47,31752
2024-08-05 11:26:00,165.54,165.31,165.54,165.29,31559
2024-08-05 11:27:00,165.37,164.85,165.38,164.8,65714
2024-08-05 11:28:00,164.82,164.86,164.99,164.71,46111
2024-08-05 11:29:00,164.91,164.81,165.1,164.74,49076
2024-08-05 11:30:00,164.81,164.87,165.0,164.74,34229
2024-08-05 11:31:00,164.9,165.12,165.13,164.8,41905
2024-08-05 11:32:00,165.12,165.31,165.31,165.05,36470
2024-08-05 11:33:00,165.28,165.18,165.28,165.16,31223
