time_key,open,close,high,low,volume,turnover,last_close
2026-01-15 09:30:00,631.0,631.0,631.0,631.0,587500,370712500.0,633.0
2026-01-15 09:31:00,631.0,629.0,632.0,629.0,378600,238609100.0,631.0
2026-01-15 09:32:00,629.5,628.0,630.0,627.0,124200,78069365.2,629.0
2026-01-15 09:33:00,627.5,628.0,628.5,627.0,233200,146421350.0,628.0
2026-01-15 09:34:00,628.5,628.0,629.0,628.0,103300,64923925.0,628.0
2026-01-15 09:35:00,628.5,628.0,628.5,627.0,258600,162367275.0,628.0
2026-01-15 09:36:00,628.0,628.5,628.5,627.5,207100,130067419.8,628.0
2026-01-15 09:37:00,628.5,628.0,629.5,628.0,157200,98814900.0,628.5
2026-01-15 09:38:00,628.5,628.5,628.5,628.0,23700,14893375.0,628.0
2026-01-15 09:39:00,628.5,628.5,629.5,627.5,283500,178132225.0,628.5
2026-01-15 09:40:00,628.5,628.5,629.0,628.5,30300,19052825.0,628.5
2026-01-15 09:41:00,628.5,629.5,630.0,628.0,196600,123603493.7,628.5
2026-01-15 09:42:00,630.0,631.0,631.0,629.5,78900,49722543.8,629.5
2026-01-15 09:43:00,631.0,631.0,631.0,630.0,116900,73708733.5,631.0
2026-01-15 09:44:00,631.0,631.0,631.0,630.5,373300,235468100.0,631.0
2026-01-15 09:45:00,631.0,630.0,631.0,629.5,148900,93892200.0,631.0
2026-01-15 09:46:00,630.0,630.0,630.5,629.0,97600,61479125.0,630.0
2026-01-15 09:47:00,630.0,629.0,630.5,628.5,70500,44376118.4,630.0
2026-01-15 09:48:00,629.0,628.5,629.0,627.5,177300,111355202.5,629.0
2026-01-15 09:49:00,629.0,629.5,629.5,628.5,83400,52458975.0,628.5
2026-01-15 09:50:00,629.0,628.0,629.5,628.0,88700,55774450.0,629.5
2026-01-15 09:51:00,628.0,629.0,629.0,628.0,70400,44261757.5,628.0
2026-01-15 09:52:00,629.0,629.0,629.5,628.5,65900,41439749.4,629.0
2026-01-15 09:53:00,629.0,628.0,629.5,628.0,50800,31933559.1,629.0
2026-01-15 09:54:00,628.0,629.0,629.0,627.5,120700,75824050.0,628.0
2026-01-15 09:55:00,629.0,628.5,629.0,628.5,26300,16537525.0,629.0
2026-01-15 09:56:00,629.0,630.5,630.5,628.5,109400,68862271.4,628.5
2026-01-15 09:57:00,630.5,631.5,632.0,630.0,114600,72339550.0,630.5
